story_id,company_name,company_org,industry_1,industry_2,industry_3,industry_4
insight_1,ne-xt technologies,ne-xt technologies,aerospace,defense,industrial,MANUFACTURING
insight_2,russell standard,russell standard,construction,production,pavement preservation,Construction
insight_3,greenclose hotels,greenclose hotels,hospitality,food and beverage services,travel arrangements,Administrative and Support Service Activities
insight_4,brivo,brivo,software development,business consulting and services,information technology & services,Information And Communication
insight_5,jub group,jub group,construction,manufacturing,chemical products,Construction
insight_6,avr realty,avr realty co.,real estate,construction,financial services,Real Estate Activities
insight_7,bluevolt,bluevolt,business consulting and services,software development,"technology, information and internet","Professional, Scientific and Technical Activities"
insight_8,centida,centida,business consulting and services,financial services,it and communications,"Professional, Scientific and Technical Activities"
insight_9,workwear group,workwear group,specialized uniform solutions,business consulting and services,retail,Other
insight_10,buyin,buyin,telecommunications,financial services,business consulting and services,Information and Communication
insight_11,mater,mater,hospitals and health care,non-profit organizations,medical practices,Human Health And Social Work Activities
insight_12,arkin,arkin,hospitals and health care,business consulting and services,non-profit organizations,Human Health And Social Work Activities
insight_13,lechler,lechler,agricultural,environmental,manufacturing,"AGRICULTURE, FORESTRY AND FISHING"
insight_14,california olive ranch,california olive ranch,food processing,agricultural industry,beverage manufacturing,ACCOMMODATION AND FOOD SERVICE ACTIVITIES
insight_15,vienna biocenter core facilities,vienna biocenter,life sciences,"technology, information and internet",business consulting and services,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"
insight_16,sophub,sophub,technology,business consulting and services,software development,Information And Communication
insight_17,perkins builders,perkins builders,construction,commercial construction,building,Construction
insight_18,william hill,william hill,financial services,gaming,retail,Financial And Insurance Activities
insight_19,hants & berks 4×4 response,hants & berks 4x4 response,non-profit organizations,"technology, information and internet",hospitals and health care,Administrative and Support Service Activities
insight_20,century supply chain solutions,century supply chain solutions,"transportation, logistics, supply chain and storage",software development,"technology, information and internet",Transportation and Storage
insight_21,choate construction company,choate construction company,construction,business consulting and services,other,Construction
