id,company
insight_1,NE-XT Technologies
insight_2,Russell Standard
insight_3,Greenclose Hotels
insight_4,Brivo
insight_5,JUB Group
insight_6,AVR Realty Co.
insight_7,BlueVolt
insight_8,Centida
insight_9,Workwear Group
insight_10,BuyIn
insight_11,Mater
insight_12,Arkin
insight_13,Lechler
insight_14,California Olive Ranch
insight_15,Vienna BioCenter
insight_16,sophub
insight_17,Perkins Builders
insight_18,William Hill
insight_19,Hants & Berks 4x4 Response
insight_20,Century Supply Chain Solutions
insight_21,Choate Construction Company
insight_22,Otsuka Pharmaceuticals Co.
insight_23,Taylor Forge
insight_24,Karmak
insight_25,NICE Actimize
insight_26,H&J Martin
insight_27,MGMA
insight_28,Kana - A Verint Company
insight_29,Informatica
insight_30,Franklin American Mortgage
insight_31,emplifi
insight_32,Dossier Solutions
insight_33,TaylorMade Golf Company
insight_34,Alfatech
insight_35,AdviseInc
insight_36,Outcome Health
insight_37,First Quartile Consulting
insight_38,Tectum Group
insight_39,NHS
insight_40,Novartis
insight_41,Novo Nordisk
insight_42,Phoenix LV
insight_43,Catalyst BI
insight_44,DAC
insight_45,CNHi
insight_46,Hermes Arzneimittel
insight_47,Crider Foods
insight_48,Schindler
insight_49,CONTEXT
insight_50,Vodafone
insight_51,ProRail
insight_52,JBS
insight_53,Thomas Wellness Group
insight_54,Grafix Plastics
insight_55,Cummins
insight_56,ESPO
insight_57,Axminster Tools & Machinery
insight_58,MarketLab
insight_59,Nordeon
insight_60,Southco
insight_61,ND Paper
insight_62,Avon Products
insight_63,Databricks
insight_64,DKG
insight_65,SAPA Building System
insight_66,Royal Gazelle
insight_67,DSM Dyneema
insight_68,Independent SAP Consultant
insight_69,Fender
insight_70,Datalogic
insight_71,Power Equipment Company
insight_72,Concur
insight_73,Allied Electronics & Automation
insight_74,Children’s Hospital Oncology Division
insight_75,"ForgeRock, Inc."
insight_76,Healthcare Industry
insight_77,Sisense
insight_78,The Global Provider of Enterprise Analytics
insight_79,Cloud Data Source Provider
insight_80,Tgestiona
insight_81,Kimball International
insight_82,Morgan Foods International
insight_83,HELLA
insight_84,Zebra Technologies
insight_85,Qualcomm
insight_86,Graybar
insight_87,RStudio
insight_88,Galvanize
insight_89,Trinity Industries
insight_90,Chat Board
insight_91,Van Hessen
insight_92,ABM
insight_93,Zip
insight_94,daa
insight_95,Rendine
insight_96,Levoplant
insight_97,kolb Cleaning Technology
insight_98,Aramark Uniform Services
insight_99,Haven Home Safe
insight_100,Amplion Clinical Communications
insight_101,Fonden Mariehjemmene
insight_102,Vanderlande
insight_103,Heineken
insight_104,Blood Centers of America
insight_105,Pruftechnik
insight_106,McCorkle Nurseries
insight_107,Absorb Software
insight_108,CyberMaxx
insight_109,Lima Memorial
insight_110,Boston College
insight_111,Pathway Chicken
insight_112,Origami Risk
insight_113,Hastings Group
insight_114,The Northeast Ohio Regional Sewer District
insight_115,Xref
insight_116,Celanese
insight_117,Truckee-Donner Public Utility District
insight_118,SSB Consulting
insight_119,Youmanage
insight_120,Symbox
insight_121,Citycounty Insurance Services
insight_122,TTI Group
insight_123,Nordr
insight_124,Hermadix
insight_125,Cromology
insight_126,Senior PLC
insight_127,Eichenauer Services Inc.
insight_128,BiC
insight_129,Leading Global Manufacturer
insight_130,"Discovery, Inc."
insight_131,Party Rent Group
insight_132,EEW Malaysia
insight_133,Symrise
insight_134,The Rathgeber Group
insight_135,Femat
insight_136,Värmevärden
insight_137,Speedy Services
insight_138,WebSan
insight_139,Seqens
insight_140,Seqens
insight_141,PMU
insight_142,Neoen
insight_143,France Air
insight_144,Astek
insight_145,CBC
insight_146,IMI
insight_147,Rotork
insight_148,Primonial
insight_149,Nexity
insight_150,KP1
insight_151,Clarins
insight_152,BDC
insight_153,5àsec
insight_154,OUTsurance
insight_155,Bauer group
insight_156,EURONICS
insight_157,ElringKlinger
insight_158,Caymas Boats
insight_159,Howard Hughes Corporation
insight_160,Investor AB
insight_161,Worldwide Facilities
insight_162,Quint
insight_163,WeCare Holding
insight_164,AAC
insight_165,"The City of Farmington, New Mexico"
insight_166,London Internet Exchange
insight_167,Carlsberg China
insight_168,BSK Associates
insight_169,"Lavery, de Billy, L.L.P."
insight_170,AltaGas Ltd.
insight_171,LV=
insight_172,"LifePoint Health, Inc."
insight_173,Folksam
insight_174,EnterCard
insight_175,DRDGOLD
insight_176,Confidential High Tech Company
insight_177,Linamar Corporation
insight_178,Nutrien Inc.
insight_179,"Financial Intelligence, LLC"
insight_180,Anonymous Public Company
insight_181,Company Confidential
insight_182,Atlantic Capital Bank
insight_183,"VAALCO Energy, Inc."
insight_184,NGL Energy Partners
insight_185,"International Seaways, Inc."
insight_186,Optimus Business Transformation
insight_187,MTN Congo
insight_188,PRA Health Sciences
insight_189,Renaissance Learning
insight_190,Rockwell Automation
insight_191,Custom Goods
insight_192,IXYS UK Westcode Ltd.
insight_193,Midwest Property Management
insight_194,WEC
insight_195,Veolia
insight_196,Sandy Spring Bank
insight_197,RSA
insight_198,ParkOhio
insight_199,Norbord
insight_200,La Capitale
insight_201,Health Network Laboratories
insight_202,HD Supply
insight_203,Generac
insight_204,GATX
insight_205,Energir
insight_206,Dallas/Fort Worth International Airport
insight_207,Deloitte
insight_208,Eagle Materials
insight_209,Dassault Aviation
insight_210,"Ventas, Inc."
insight_211,Transamerica Life Insurance Company
insight_212,"Mercedes-Benz Truck Germany, Daimler AG"
insight_213,La Coop Federee
insight_214,Imerys
insight_215,ICAT Managers
insight_216,Hasbro
insight_217,Alimentation Couche-Tard Inc.
insight_218,Cornell University
insight_219,Acxiom
insight_220,Apergy
insight_221,Heuver
insight_222,Multiconsult
insight_223,Stoltz Management
insight_224,Grilstad
insight_225,Norwegian Dental Health Insurance
insight_226,OSM Maritime Group
insight_227,Dalakraft
insight_228,Coop Sørvest
dash_1,property-management-analytics-pricelabs
dash_2,kansas-city-chiefs
dash_3,equinor-energy
dash_4,sports-analytics-utah-jazz
dash_5,behavioral-health-holmusk
dash_6,cibc
dash_7,intuit
dash_8,public-utility-dash-enterprise
dash_9,denver-regional-transport
dash_10,iot-gamuda
dash_11,automotive-capacity-planning-cox-auto
dash_12,crant-ai
dash_13,wpo-energy
dash_14,gamma-tech
dash_15,renewable-energy-nrel
dash_16,chesapeake-energy
dash_17,pairwise
dash_18,dash-enterprise-covid
dash_19,komatsu
dash_20,uniper
dash_21,supply-chain-nisci
dash_22,berkeley-lab
dash_23,singapore-institute-for-clinical-sciences-sics
dash_24,education-sidmach
knime_1,Alexion
knime_2,Alexion
knime_3,Allente
knime_4,Allente
knime_5,Anadolu Sigorta
knime_6,Anadolu Sigorta
knime_7,BGIS
knime_8,BGIS
knime_9,Centogene
knime_10,Centogene
knime_11,Chiesi
knime_12,Chiesi
knime_13,ClearPeaks
knime_14,ClearPeaks
knime_15,Combating Terrorism Technical Support Office
knime_16,Combating Terrorism Technical Support Office
knime_17,Continental
knime_18,Continental
knime_19,Crystalloids
knime_20,Crystalloids
knime_21,Daimler
knime_22,Daimler
knime_23,Day5 Analytics
knime_24,Day5 Analytics
knime_25,Deutsche Telekom
knime_26,Deutsche Telekom
knime_27,Diaceutics
knime_28,Diaceutics
knime_29,EPAM
knime_30,EPAM
knime_31,FDA
knime_32,FDA
knime_33,Forest Grove
knime_34,Forest Grove
knime_35,Gemmacon
knime_36,Gemmacon
knime_37,HireRight
knime_38,HireRight
knime_39,ING
knime_40,ING
knime_41,JYSK
knime_42,JYSK
knime_43,Kärcher
knime_44,Kärcher
knime_45,Knoldus
knime_46,Knoldus
knime_47,Netzeffekt
knime_48,Netzeffekt
knime_49,Procter & Gamble
knime_50,Procter & Gamble
knime_51,Pure Romance
knime_52,Pure Romance
knime_53,Qatar Financial Center Regulatory Authority
knime_54,Qatar Financial Center Regulatory Authority
knime_55,Rabobank
knime_56,Rabobank
knime_57,Seagate
knime_58,Seagate
knime_59,Siemens
knime_60,Siemens
knime_61,Soluzioni Informatiche
knime_62,Soluzioni Informatiche
knime_63,Soluzioni Informatiche
knime_64,Soluzioni Informatiche
knime_65,Sparkasse KölnBonn
knime_66,Sparkasse KölnBonn
knime_67,Sport England
knime_68,Sport England
knime_69,Star Cooperative
knime_70,Star Cooperative
knime_71,Tata Steel
knime_72,Tata Steel
knime_73,thaltegos
knime_74,thaltegos
knime_75,The Hungarian Government
knime_76,The Hungarian Government
knime_77,TODO1
knime_78,TODO1
knime_79,Truata
knime_80,Truata
knime_81,Uppsala University
knime_82,Uppsala University
knime_83,Wave Life Sciences
knime_84,Wave Life Sciences
knime_85,Webbankir
knime_86,Webbankir
knime_87,Würth Group
knime_88,Würth Group
knime_89,Würth Group
knime_90,Würth Group
knime_91,Z5 Inventory
knime_92,Z5 Inventory
knime_93,ZF
knime_94,ZF
tableau_1,Tinuiti
tableau_2,Gulf Bank
tableau_3,St. George's Hospital 
tableau_4,ABB
tableau_5,Swiss Re
tableau_6,NHS Digital
tableau_7,Staysure
tableau_8,Kramp
tableau_9,VR-Bank Mitte eG
tableau_10,Experian
tableau_11,PT Bank Mandiri (Persero) Tbk
tableau_12,Kantonspolizei Aargau
tableau_13,Aon
tableau_14,Swiss Life 
tableau_15,Siemens AG
tableau_16,Tesco UKI
tableau_17,Greater Manchester Health and Social Care Partnership
tableau_18,Southwest Airlines
tableau_19,Coca-Cola Bottling Co. Consolidated
tableau_20,Arby's Restaurant Group -
tableau_21,Merkle
tableau_22,Company name not found
tableau_23,Bol.com
tableau_24,Red Hat
tableau_25,Verizon Communications
tableau_26,UNC Health
tableau_27,Providence Health & Services
tableau_28,Lake County Health Department
tableau_29,Wells Fargo
tableau_30,Front Health
tableau_31,Tinuiti
tableau_32,JetBlue
tableau_33,Juniper Networks
tableau_34,Bain & Company
tableau_35,Jake Radelet
tableau_36,"Land Registration Systems, Inc (LARES)"
tableau_37,UnionBank of the Philippines
tableau_38,Mankind Pharma
tableau_39,voestalpine
tableau_40,CVS Health
tableau_41,Mercado Libre
tableau_42,株式会社ポニーキャニオン
tableau_43,Bentley
tableau_44,Company name not found
tableau_45,Japan Airlines
tableau_46,Zalora Singapore
tableau_47,Nanyang Girl's High School
tableau_48,AmFam
tableau_49,F5
tableau_50,Papaya Global
tableau_51,MutuiOnline
tableau_52,Freecharge
tableau_53,World Food Programme
tableau_54,MOH Indonesia
tableau_55,True Corporation Thailand
tableau_56,Unicredit
tableau_57,Tivian
tableau_58,Siam Kubota Thailand
tableau_59,Bank Rakyat Indonesia
tableau_60,SmartNews Japan
tableau_61,Yahoo Japan
tableau_62,DT One Singapore
tableau_63,FujiFilm Lab Japan
tableau_64,PT Eigerindo Multi Produk Industri
tableau_65,NYU Langone Health
tableau_66,Feeding America
tableau_67,MALL Group 
tableau_68,Hitachi Japan
tableau_69,Unacademy India
tableau_70,Tata 1mg
tableau_71,Prometeia
tableau_72,MicroPort CRM
tableau_73,Rail Delivery Group 
tableau_74,Online PSB Loans
tableau_75,Egged Transportation 
tableau_76,ILIAS Solutions
tableau_77,RBC Wealth Management
tableau_78,"Merck KGaA, Darmstadt, Germany"
tableau_79,United States Olympic & Paralympic Committee
tableau_80,Salesforce
tableau_81,KeyBank
tableau_82,Sompo Thailand
tableau_83,Carro Singapore
tableau_84,Nippon Gases 
tableau_85,Zuellig Pharma Singapore
tableau_86,Link Net Indonesia
tableau_87,PolicyLink logo
tableau_88,OTP Bank Romania 
tableau_89,Ocado
tableau_90,Amstelring
tableau_91,IDBS
tableau_92,The 1
tableau_93,Progressive Insurance
tableau_94,Hitachi Solutions
tableau_95,Midea
tableau_96,SC Asset
tableau_97,Jaguar Land Rover
tableau_98,Mizuho Bank
tableau_99,Yves Rocher
tableau_100,Fujifilm Imaging Systems
tableau_101,Kioxia Iwate Corporation
tableau_102,BMW Group Asia
tableau_103,Seattle Seahawks
tableau_104,Yorkshire Building Society
tableau_105,McDonald’s
tableau_106,University of Utah Health
tableau_107,Carsome
tableau_108,University of Texas - Austin
tableau_109,Duke Health
tableau_110,Belcorp
tableau_111,Blank Customer
tableau_112,Blank Customer
tableau_113,Blank Customer
tableau_114,Kdan Mobile
tableau_115,Vicinity Centres 
tableau_116,freee 会計
tableau_117,TDK Corporation
tableau_118,Telefónica Tech
tableau_119,Griffith University
tableau_120,Zeotap
tableau_121,Sysco LABS
tableau_122,Punchh
tableau_123,Anadolu Sigorta
tableau_124,Basware
tableau_125,University of Kentucky 
tableau_126,Prospitalia h-trak
tableau_127,"invites healthcare CO., LTD"
tableau_128,Engie
tableau_129,Dairy Farm Group
tableau_130,Splunk Inc.
tableau_131,Vend
tableau_132,Bridgestone
tableau_133,BMW
tableau_134,Konica Minolta Japan
tableau_135,Belcorp
tableau_136,FAW Volkswagen
tableau_137,Mahindra Finance
tableau_138,Gatwick Airport
tableau_139,Sequis Life
tableau_140,Swisscom
tableau_141,Department of Disease Control Thailand
tableau_142,Electricity Authority
tableau_143,Quandoo
tableau_144,Paigo
tableau_145,Emami Limited
tableau_146,Hankook Tire
tableau_147,COFCO Coca Cola
tableau_148,DTDC
tableau_149,Telia
tableau_150,Verizon Communications
tableau_151,Mitsui Leasing
tableau_152,Zigbang New
tableau_153,SOS International
tableau_154,Signet Jewelers
tableau_155,National Trust
tableau_156,Oneflare
tableau_157,Municipality of Nijmegen
tableau_158,State of Indiana
tableau_159,KoomMin KB bank
tableau_160,Company name not found
tableau_161,Kubota
tableau_162,Wolseley Canada
tableau_163,Specialized Bicycles Components
tableau_164,Vanguard Charitable
tableau_165,The World Economic Forum (WEF)
tableau_166,Dubai Airports
tableau_167,Austrian Airlines
tableau_168,United Utilities 
tableau_169,ABN AMRO Clearing
tableau_170,Criteo
tableau_171,EDF Energy
tableau_172, Tableau User Group
tableau_173,Experian
tableau_174,Tableau Beginner Session for Wells Fargo
tableau_175,Tableau Product Roadmap Briefing
tableau_176,PurpleCloud Technologies
tableau_177,USAID
tableau_178,PT Bank Mandiri (Persero) Tbk
tableau_179,Castor EDC
tableau_180,CellRebel
tableau_181,Wsparcie dla Szpitala
tableau_182,Everton FC
tableau_183,Community Medical Centers
tableau_184,Landal GreenParks
tableau_185,Gyeonggi Infectious Disease Control Center
tableau_186,Government of Tunisia
tableau_187,DB Systel
tableau_188,NTT Docomo 
tableau_189,Satsure
tableau_190,UChicago Medicine
tableau_191,Henkel 
tableau_192,Whole Foods Market
tableau_193,Carrot Health
tableau_194,TVS Credit
tableau_195,USAA
tableau_196,St. Mary's Bank
tableau_197,Aon
tableau_198,Wellcome
tableau_199,Swiss Life 
tableau_200,Rugby Australia Ltd
tableau_201,E.ON
tableau_202,"NEOWIZ Co., Ltd"
tableau_203,Marysville Exempted Village School District
tableau_204,Tesco UKI
tableau_205,Nissan
tableau_206,Siemens AG
tableau_207,Region Midtjylland
tableau_208,Measured
tableau_209,El Al
tableau_210,World Food Programme
tableau_211,Luxoft
tableau_212,Polysphere
tableau_213,Seera Group
tableau_214,Guy's and St Thomas' Charity
tableau_215,Coca-Cola European Partners
tableau_216,Mondelez International
tableau_217,Elsevier
tableau_218,Florida International University
tableau_219,Advanced Info Service Public Company Limited
tableau_220,Bundesanstalt für Geowissenschaften und Rohstoffe
tableau_221,True Digital
tableau_222,Pruksa Real Estate Public Company Limited
tableau_223,Uniper 
tableau_224,Bayer Healthcare China
tableau_225,Transurban
tableau_226,YIT
tableau_227,FreeNow
tableau_228,Dentsu Aegis 
tableau_229,image
tableau_230,carwow
tableau_231,Coopers Brewery
tableau_232,Garanti Bank 
tableau_233,Tokopedia
tableau_234,Cigna
tableau_235,Tiket.com
tableau_236,Australian Financial Security Authority
tableau_237,Emtek Group
tableau_238,real.digital
tableau_239,Bank Negara Indonesia
tableau_240,Greater Manchester Health and Social Care Partnership
tableau_241,GetSmarter
tableau_242,PEMCO Insurance
tableau_243,Navig8 Group
tableau_244,AIA Singapore
tableau_245,ICIS
tableau_246,Certis Group
tableau_247,RollMaster Software
tableau_248,Uniper 
tableau_249,Airlines Reporting Corporation
tableau_250,GOJEK
tableau_251,Wipro Limited
tableau_252,Charles Schwab
