story_id,company_name,industry_1,industry_2,industry_3
insight_1,NE-XT Technologies,aerospace,defense,industrial
insight_2,Russell Standard,construction,production,pavement preservation
insight_3,Greenclose Hotels,Hospitality,Food and Beverage Services,Travel Arrangements
insight_4,Brivo,software development,business consulting and services,information technology & services
insight_5,JUB Group,Construction,Manufacturing,Chemical Products
insight_6,AVR Realty,Real Estate,Construction,Financial Services
insight_7,BlueVolt,Business Consulting and Services,Software Development,"Technology, Information and Internet"
insight_8,Centida,Business Consulting and Services,Financial Services,IT and Communications
insight_9,Workwear Group,Specialized uniform solutions,Business Consulting and Services,Retail
insight_10,BuyIn,telecommunications,financial services,business consulting and services
insight_11,Mater,hospitals and health care,non-profit organizations,medical practices
insight_12,Arkin,hospitals and health care,business consulting and services,non-profit organizations
insight_13,Lechler,Agricultural,Environmental,Manufacturing
insight_14,California Olive Ranch,Food Processing,Agricultural Industry,Beverage Manufacturing
insight_15,Vienna BioCenter Core Facilities,life sciences,"technology, information and internet",business consulting and services
insight_16,Sophub,Technology,Business Consulting and Services,Software Development
insight_17,Perkins Builders,construction,commercial construction,building
insight_18,William Hill,Financial Services,Gaming,Retail
insight_19,Hants & Berks 4×4 Response,non-profit organizations,"technology, information and internet",hospitals and health care
insight_20,Century Supply Chain Solutions,"transportation, logistics, supply chain and storage",software development,"technology, information and internet"
insight_21,Choate Construction Company,construction,business consulting and services,other
insight_22,Otsuka Pharmaceuticals Co.,Pharmaceuticals,Healthcare,Medical Devices
insight_23,"Taylor Forge Engineered Systems, Inc.",Manufacturer,Industry,Energy
insight_24,"Karmak, Inc.",Transportation,Business Management,Software Development
insight_25,NICE Actimize,Financial Services,Software Development,Business Intelligence
insight_26,H&J Martin Asset Management Services,construction,business consulting and services,facilities services
insight_27,MGMA,Healthcare,"Technology, Information and Internet",Business Consulting and Services
insight_28,KANA Software,customer service,business software,software development
insight_29,Informatica,software development,"technology, information and internet",business consulting and services
insight_30,Franklin American Mortgage Company,a. Financial Services,b. Mortgage Industry,c. Real Estate
insight_31,Emplifi,"Technology, Information and Internet",Software Development,Business Consulting and Services
insight_32,Dossier Solutions,healthcare,software development,technology
insight_33,TaylorMade,software development,sports equipment manufacturing,retail
insight_34,Alfatech,Electrical Engineering,Telecom Business,IT Services
insight_35,AdviseInc,hospitals and health care,business consulting and services,"technology, information and internet"
insight_36,Outcome Health,hospitals and health care,non-profit organizations,medical practices
insight_37,First Quartile Consulting,business consulting and services,utility consulting,energy
insight_38,Tectum Group,construction,IT Services,Business Consulting and Services
