industry,industry_1,,,,,,,,,
"['mining', 0.7]",MINING AND QUARRYING,,,,,,,,,
{'guess_1': 'business consulting and services'},"Professional, Scientific and Technical Activities",,,,,,,,,
"{'guess1': 'hospitality', 'guess2': 'travel and tourism', 'guess3': 'leisure'}",Administrative and Support Service Activities,,,,,,,,,
<top three industry guesses>,other,,,,,,,,,
a. financial services,FINANCIAL AND INSURANCE ACTIVITIES,,,,,,,,,
accounting,"Professional, Scientific and Technical Activities",,,,,,,,,
accounting and consulting,"Professional, Scientific and Technical Activities",,,,,,,,,
advertising,"Professional, Scientific and Technical Activities",,,,,,,,,
advertising services,"Professional, Scientific and Technical Activities",,,,,,,,,
advice,"Professional, Scientific and Technical Activities",,,,,,,,,
aerospace,MANUFACTURING,,,,,,,,,
aerospace & defence,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,,,,,,,,,
aged care,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,,,,,,,,,
agribusiness,"AGRICULTURE, FORESTRY AND FISHING",,,,,,,,,
agricultural,"AGRICULTURE, FORESTRY AND FISHING",,,,,,,,,
agricultural products,"AGRICULTURE, FORESTRY AND FISHING",,,,,,,,,
agricultural services,"AGRICULTURE, FORESTRY AND FISHING",,,,,,,,,
agriculture,"AGRICULTURE, FORESTRY AND FISHING",,,,,,,,,
air transport,TRANSPORTATION AND STORAGE,,,,,,,,,
air transportation,TRANSPORTATION AND STORAGE,,,,,,,,,
airline,TRANSPORTATION AND STORAGE,,,,,,,,,
airline industry,TRANSPORTATION AND STORAGE,,,,,,,,,
airlines,TRANSPORTATION AND STORAGE,,,,,,,,,
animal feed production,"AGRICULTURE, FORESTRY AND FISHING",,,,,,,,,
"appliances, electrical, and electronics manufacturing",Manufacturing,,,,,,,,,
aquaculture,"AGRICULTURE, FORESTRY AND FISHING",,,,,,,,,
architecture,"Professional, Scientific and Technical Activities",,,,,,,,,
architecture and planning,"Professional, Scientific and Technical Activities",,,,,,,,,
automotive,WHOLESALE AND RETAIL TRADE,,,,,,,,,
aviation,TRANSPORTATION AND STORAGE,,,,,,,,,
b2b,OTHER SERVICE ACTIVITIES,,,,,,,,,
b2b marketplace,OTHER SERVICE ACTIVITIES,,,,,,,,,
baby care products,WHOLESALE AND RETAIL TRADE,,,,,,,,,
beauty,WHOLESALE AND RETAIL TRADE,,,,,,,,,
beauty and cosmetics,WHOLESALE AND RETAIL TRADE,,,,,,,,,
beverage,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,,,,,,,,,
big data,INFORMATION AND COMMUNICATION,,,,,,,,,
biological control,OTHER SERVICE ACTIVITIES,,,,,,,,,
biopharma,MANUFACTURING,,,,,,,,,
biotech,MANUFACTURING,,,,,,,,,
biotechnology,MANUFACTURING,,,,,,,,,
broadcasting,INFORMATION AND COMMUNICATION,,,,,,,,,
btoc company,OTHER SERVICE ACTIVITIES,,,,,,,,,
building products,MANUFACTURING,,,,,,,,,
business,"Professional, Scientific and Technical Activities",,,,,,,,,
business consulting,"Professional, Scientific and Technical Activities",,,,,,,,,
business consulting and services,"Professional, Scientific and Technical Activities",,,,,,,,,
business intelligence,"Professional, Scientific and Technical Activities",,,,,,,,,
business process services,"Professional, Scientific and Technical Activities",,,,,,,,,
business services,"Professional, Scientific and Technical Activities",,,,,,,,,
business_services,"Professional, Scientific and Technical Activities",,,,,,,,,
chemical,MANUFACTURING,,,,,,,,,
chemical industry,MANUFACTURING,,,,,,,,,
chemical manufacturing,MANUFACTURING,,,,,,,,,
chemicals,MANUFACTURING,,,,,,,,,
civic and social organizations,Public Administration and Defence; Compulsory Social Security,,,,,,,,,
cleaning solutions,WHOLESALE AND RETAIL TRADE,,,,,,,,,
commercial labeling solutions,OTHER SERVICE ACTIVITIES,,,,,,,,,
commercial mining,MINING AND QUARRYING,,,,,,,,,
conservation,OTHER SERVICE ACTIVITIES,,,,,,,,,
construction,Construction,,,,,,,,,
consumer goods,WHOLESALE AND RETAIL TRADE,,,,,,,,,
consumer packaged goods (cpg),WHOLESALE AND RETAIL TRADE,,,,,,,,,
consumer services,Wholesale and Retail Trade,,,,,,,,,
cosmetics,Wholesale and Retail Trade,,,,,,,,,
customer service,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,,,,,,,,,
dairy,"AGRICULTURE, FORESTRY AND FISHING",,,,,,,,,
data,INFORMATION AND COMMUNICATION,,,,,,,,,
data-driven marketing,INFORMATION AND COMMUNICATION,,,,,,,,,
data-driven marketing agency,"Professional, Scientific and Technical Activities",,,,,,,,,
design services,"Professional, Scientific and Technical Activities",,,,,,,,,
digital industries,"Professional, Scientific and Technical Activities",,,,,,,,,
digital interactive entertainment,"Arts, Entertainment and Recreation",,,,,,,,,
digital marketing,"Professional, Scientific and Technical Activities",,,,,,,,,
direct sales,"Professional, Scientific and Technical Activities",,,,,,,,,
disability support services,OTHER SERVICE ACTIVITIES,,,,,,,,,
distribution,TRANSPORTATION AND STORAGE,,,,,,,,,
e-commerce,"Professional, Scientific and Technical Activities",,,,,,,,,
education,Education,,,,,,,,,
education administration programs,Education,,,,,,,,,
