industry,count
construction,683107
it services and it consulting,651987
advertising services,617887
business consulting and services,508608
real estate,471242
retail,436774
software development,406244
financial services,356450
hospitals and health care,303721
"technology, information and internet",297403
wellness and fitness services,250817
hospitality,220073
non-profit organizations,218232
professional training and coaching,214756
medical practices,200250
restaurants,190131
information technology & services,185102
education administration programs,184312
architecture and planning,181743
accounting,179601
design services,175228
"appliances, electrical, and electronics manufacturing",172042
food and beverage services,171347
events services,151879
motor vehicle manufacturing,151611
consumer services,149383
staffing and recruiting,146454
legal services,143216
media production,142358
individual and family services,141891
civic and social organizations,141868
law practice,139800
machinery manufacturing,139712
spectator sports,134897
insurance,133140
higher education,131124
retail apparel and fashion,129587
industrial machinery manufacturing,127430
wholesale,123604
entertainment providers,122591
telecommunications,116131
travel arrangements,114390
human resources services,113159
environmental services,112426
manufacturing,111906
oil and gas,108234
"transportation, logistics, supply chain and storage",103726
food and beverage manufacturing,99169
facilities services,99109
truck transportation,95804
marketing services,91301
mining,87355
primary and secondary education,85943
civil engineering,85910
e-learning providers,83996
book and periodical publishing,83189
photography,82851
graphic design,78829
government administration,78719
investment management,78606
"health, wellness & fitness",76090
farming,75382
research services,74922
public relations and communications services,72122
wholesale building materials,70972
textile manufacturing,70155
mental health care,66790
printing services,66342
pharmaceutical manufacturing,65695
chemical manufacturing,64523
renewable energy semiconductor manufacturing,63438
musicians,63077
medical equipment manufacturing,62982
furniture and home furnishings manufacturing,62335
education,59488
security and investigations,58187
international trade and development,56869
education management,56845
religious institutions,56659
non-profit organization management,55785
online audio and video media,55116
information services,51980
broadcast media production and distribution,51912
food & beverages,51683
retail office equipment,51414
design,49384
wholesale import and export,49255
personal care product manufacturing,48959
"movies, videos, and sound",48524
utilities,48394
automotive,47804
venture capital and private equity principals,46359
performing arts,44813
writing and editing,43579
banking,43322
biotechnology research,43243
automation machinery manufacturing,42772
plastics manufacturing,41388
retail art supplies,40735
mechanical or industrial engineering,38392
computer and network security,37692
airlines and aviation,37628
apparel & fashion,36643
computer games,36248
entertainment,36075
recreational facilities,33960
"leisure, travel & tourism",33760
retail luxury goods and jewelry,33158
computers and electronics manufacturing,32789
human resources,31082
transportation/trucking/railroad,29503
consumer goods,29452
food production,29391
artists and writers,29142
executive offices,28501
maritime transportation,27871
packaging and containers manufacturing,27612
beverage manufacturing,27155
freight and package transportation,25272
e-learning,24642
sporting goods manufacturing,24182
veterinary services,24089
market research,23970
aviation and aerospace component manufacturing,23775
leasing non-residential real estate,23460
"museums, historical sites, and zoos",22901
translation and localization,21497
outsourcing and offshoring consulting,21336
retail groceries,21205
building materials,21164
research,21124
"technology, information and media",20873
strategic management services,20670
investment banking,20441
philanthropic fundraising services,20130
public safety,20097
renewables & environment,19909
newspaper publishing,19882
music,19484
medical device,18603
furniture,18491
think tanks,18442
paper and forest product manufacturing,17154
computer hardware manufacturing,16509
business supplies & equipment,16351
alternative medicine,16022
online media,15984
engineering services,15314
"glass, ceramics and concrete manufacturing",15283
political organizations,15178
fundraising,15037
cosmetics,14563
computer networking products,14308
internet publishing,14058
law enforcement,13924
defense and space manufacturing,13469
health and human services,13280
international affairs,12980
import & export,12847
arts & crafts,12459
industrial automation,12383
government relations services,12128
warehousing and storage,11932
biotechnology,11857
capital markets,11761
